end_date,RiskFreeRate,TermSpread,DividendPriceRatio,NetEquityExpansion,PE,PB,DefaultSpread,svar
2010-01-31,1.3,2.06,-2.522199101142238,-1.5628070526853213,25.32,2.98,0.17196499109268198,0.0040245247351428605
2010-02-28,1.34,1.8100000000000003,-2.5415576566238016,-1.5438223287156045,24.13,2.81,0.28451181860531294,0.0018658612939049164
2010-03-31,1.3,1.8800000000000001,-2.5505438657131467,-1.5261579400439018,24.97,2.84,0.10141306338102954,0.0025366778581807077
2010-04-30,1.31,1.83,-2.4903005735114796,-1.4835804083150408,25.21,2.68,0.07998570941743287,0.00394288278796556
2010-05-31,1.43,1.5199999999999998,-2.3920349936873446,-1.4352169402607826,21.46,2.28,0.270570051670075,0.008396345100408814
2010-06-30,1.9,1.3199999999999998,-2.3901706229564255,-1.3442514692567369,20.65,2.21,0.41625238600231185,0.0045478184172264135
2010-07-31,1.69,1.2700000000000002,-2.378783523821353,-1.4036288223443596,20.37,2.26,0.47469544410705583,0.003530728311401138
2010-08-31,1.56,1.3399999999999999,-2.397529189245308,-1.4140014169401884,22.03,2.29,0.3726000135595132,0.0034693686798056814
2010-09-30,1.78,1.3900000000000001,-2.4012857408050294,-1.409541907603625,17.52,2.15,0.3999590656974114,0.0018245922706904261
2010-10-31,1.83,1.5399999999999998,-2.454654930539835,-1.4455659673575725,19.26,2.43,0.3556706063887647,0.0040890479021469745
2010-11-30,2.09,1.5700000000000003,-2.4450188805181687,-1.4044639059457973,19.53,2.3,0.021868174726313215,0.007387119983704015
2010-12-31,2.94,0.8200000000000003,-2.446142501793169,-1.4121475988275458,18.87,2.16,0.395117386527683,0.0031259412513287
2011-01-31,3.02,0.8999999999999999,-2.437111481714515,-1.3970132871318075,24.2,2.49,0.5425904932476224,0.0037773528905371547
2011-02-28,2.87,0.9300000000000002,-2.461269084695604,-1.431809538180107,25.39,2.57,0.6574750542640679,0.0020875636859327986
2011-03-31,2.51,1.0,-2.4629351749938735,-1.4262036940166585,26.31,2.62,0.6803086840588108,0.001725049028863978
2011-04-30,2.6,1.06,-2.4498092115808348,-1.4065120730623537,26.45,2.56,0.773890006542207,0.001499016562483789
2011-05-31,2.74,0.8899999999999997,-2.4058144652386844,-1.3820285900996954,23.83,2.31,0.8501714297703334,0.0022752656664348364
2011-06-30,3.25,0.56,-2.3301718956611053,-1.4241830653354195,22.77,2.28,1.0943904831295928,0.0022364923150831944
2011-07-31,3.28,0.38000000000000034,-2.3132085108166276,-1.4399947708865812,23.99,2.35,1.4765142713274266,0.0021313176968022957
2011-08-31,3.31,0.33000000000000007,-2.295607025953485,-1.4220152850916654,22.76,2.15,1.5180782546167786,0.00419513420126184
2011-09-30,3.53,0.19999999999999973,-2.246897907466483,-1.3996413882271659,17.38,2.0,1.7933713822137722,0.0034825183426822727
2011-10-31,3.16,0.5499999999999998,-2.2734540591479027,-1.451867824575467,16.58,1.92,1.8210888703664132,0.003123519913327375
2011-11-30,2.7,0.9199999999999999,-2.2524149077395395,-1.503217444852146,17.12,1.88,1.806504542177375,0.0033883749172028015
2011-12-31,2.63,0.7800000000000002,-2.2189919701311904,-1.5006897542506805,15.25,1.74,2.1350478400354804,0.002759860931661732
2012-01-31,2.81,0.6200000000000001,-2.232922851726256,-1.552156556843809,14.73,1.83,2.0420352991889494,0.004814503349848955
2012-02-29,3.01,0.5999999999999996,-2.2664639280798253,-1.5977757562045567,15.81,1.93,1.7083905197325218,0.001963722028609889
2012-03-31,2.86,0.6600000000000001,-2.2369113782217793,-1.5726166877524865,16.34,1.91,1.7119869252909787,0.002908747887605702
2012-04-30,2.76,0.6699999999999999,-2.2662548318435993,-1.628540581646678,16.21,1.85,1.7394473678187305,0.0015530475206358464
2012-05-31,2.44,0.9000000000000004,-2.298057561912379,-1.633510869354029,17.14,1.83,1.7068272503939546,0.0017691684899669073
2012-06-30,2.11,1.1,-2.1886694808529406,-1.5957241405591764,16.69,1.77,1.295515036582946,0.002081626578870592
2012-07-31,2.07,1.0099999999999998,-2.1599242433334274,-1.5706466205237892,15.98,1.74,1.5213635726408528,0.0016184410950768396
2012-08-31,2.44,0.8399999999999999,-2.1278638963931273,-1.5714270550517897,15.47,1.65,1.5209434965382442,0.0013954461564977996
2012-09-30,2.63,0.7200000000000002,-2.131940131338319,-1.5751672296246153,14.32,1.58,1.5609190918150408,0.0037186888119118133
2012-10-31,2.81,0.6499999999999999,-2.124876966674215,-1.5758267265287609,14.45,1.61,1.5664610597822393,0.0020600617884370337
